"domain","revenue_sum","total_conversions","valid_revenue_conversions"
"col127.mail.live.com","110.94","1","1"
"search.mywebsearch.com","108.52","2","2"
"www.google.com.tr","107.14","1","1"
"search.mediacomcable.com","106.99","1","1"
"mail.outdrs.net","104.95","1","1"
"s.yimg.com","104.75","2","2"
"www.google.bs","102.94","1","1"
"webmail.gwtc.net","101.98","1","1"
"mail.tylerrv.com","100.55","1","1"
"www.detroitnews.com","99.48","1","1"
"clicks.pureleads.com","99.47","1","1"
"www.funnstyle.com","97.95","1","1"
"rd.bizrate.com","97.7","2","2"
"m.mg.mail.yahoo.com","95.97","1","1"
"sportsmansguide.com","95.46","1","1"
"webmail2.armstrongmywire.com","94.96","1","1"
"www.extrabux.com","94.91","2","2"
"www.breitbart.com","94.14","1","1"
"login.vtc.net","93.98","1","1"
"webmail.core.com","92.51","2","2"
"cn.dealmoon.com","84.81","1","1"
"www.copthesekicks.com","84.28","2","2"
"thmarine.com","83.92","1","1"
"www.google.fr","82.95","1","1"
"mg.mail.yahoo.com","76.95","1","1"
"webmail.hoster912.com","75.95","1","1"
"www.outdoorphotographer.com","74.5","1","1"
"www.compare99.com","71.97","1","1"
"www.thesportsmansguide.com","70.97","1","1"
"webmail.bendbroadband.com","68.97","1","1"
"snt146.mail.live.com","67.66","1","1"
"webmailb.netzero.net","66.97","2","2"
"www.cafelamoda.com","66.97","1","1"
"2912a.v.fwmrm.net","64.98","1","1"
"c3bb.mymailsrvr.com","63.98","1","1"
"webmail.backroads.net","63.25","1","1"
"us.search.yahoo.com","62.89","1","1"
"snt152.mail.live.com","62.65","1","1"
"www.hellowonderful.co","61.6","1","1"
"webmaila.netzero.net","60.64","2","2"
"spamfilter.yucca.net","57.96","1","1"
"webtop.east.cox.net","57.42","1","1"
"10.136.1.100:15871","56.95","1","1"
"www.google.com.do","56.87","2","2"
"webmail2.cincinnatibell.net","56","1","1"
"sneakadeal.com","54.94","1","1"
"webmail.ellijay.com","52.76","1","1"
"e.sportsmansguide.com","52.03","1","1"
"www.doctorofcredit.com","46.98","1","1"
"www.winloot.com","46.97","1","1"
"www.hunterswisdom.com","46.97","1","1"
"www.weather.com","46.96","1","1"
"www.ar15.com","44.96","1","1"
"webmail.c.earthlink.net","43.69","1","1"
"hiphopnews24-7.com","43.17","1","1"
"webmail.roadrunner.com","42.25","1","1"
